epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,1.1459612846374512,1.327377438545227,1.5624313354492188,2.665539503097534,2.665539503097534
0,0,10.235692024230957,,,,,,
1,1,,,1.0031930208206177,1.50985848903656,2.5145838260650635,3.8527166843414307,2.665539503097534
1,1,13.016010284423828,,,,,,
2,2,,,0.7459505200386047,0.9936967492103577,1.09427809715271,1.2985661029815674,1.2985661029815674
2,2,8.081090927124023,,,,,,
3,3,,,0.7132967114448547,0.8903882503509521,1.1273152828216553,1.1858946084976196,1.1858946084976196
3,3,1.9190237522125244,,,,,,
4,4,,,0.7571273446083069,0.9635304808616638,1.0758256912231445,1.2705267667770386,1.1858946084976196
4,4,1.6898208856582642,,,,,,
5,5,,,0.8263360857963562,0.9406166672706604,1.0368362665176392,1.3115603923797607,1.1858946084976196
5,5,1.788920521736145,,,,,,
6,6,,,0.7694511413574219,0.8772081732749939,1.108298897743225,1.2280455827713013,1.1858946084976196
6,6,1.2293002605438232,,,,,,
7,7,,,0.7297801375389099,0.8495019674301147,1.1923702955245972,1.215238332748413,1.1858946084976196
7,7,0.8281022906303406,,,,,,
8,8,,,0.7794399857521057,0.8534052968025208,1.0994919538497925,1.2140542268753052,1.1858946084976196
8,8,0.8383728265762329,,,,,,
9,9,,,0.8209394216537476,0.8611275553703308,1.0278347730636597,1.2276155948638916,1.1858946084976196
9,9,0.7108426690101624,,,,,,
10,10,,,0.7957316040992737,0.8426377177238464,1.016581654548645,1.1723887920379639,1.1723887920379639
10,10,0.6877972483634949,,,,,,
11,11,,,0.7425656914710999,0.8108956217765808,1.0256197452545166,1.086458683013916,1.086458683013916
11,11,0.6322969198226929,,,,,,
12,12,,,0.6896881461143494,0.8008742332458496,1.0243909358978271,1.0170836448669434,1.0170836448669434
12,12,0.5787833333015442,,,,,,
13,13,,,0.6561363339424133,0.8319920897483826,1.0078774690628052,0.9960662126541138,0.9960662126541138
13,13,0.5122304558753967,,,,,,
14,14,,,0.6469628810882568,0.8260179758071899,1.0016010999679565,0.9777609705924988,0.9777609705924988
14,14,0.4125301241874695,,,,,,
