epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.8203769326210022,0.8741170167922974,1.146174430847168,1.3159689903259277,1.3159689903259277
0,0,1.6220914125442505,,,,,,
1,1,,,0.7559799551963806,0.9271554350852966,1.6884610652923584,1.7476272583007812,1.3159689903259277
1,1,0.9334072470664978,,,,,,
2,2,,,0.7638529539108276,0.9291271567344666,1.8008369207382202,1.877725601196289,1.3159689903259277
2,2,1.3976595401763916,,,,,,
3,3,,,0.7570794224739075,0.9181879162788391,1.538187861442566,1.593940258026123,1.3159689903259277
3,3,1.5257068872451782,,,,,,
4,4,,,0.8034181594848633,0.8978138566017151,1.220599889755249,1.3681440353393555,1.3159689903259277
4,4,1.1002225875854492,,,,,,
5,5,,,0.830908477306366,0.8806182146072388,1.0108826160430908,1.247204065322876,1.247204065322876
5,5,0.7672613263130188,,,,,,
6,6,,,0.7849094271659851,0.8809711337089539,0.9584969878196716,1.156825304031372,1.156825304031372
6,6,0.6364834904670715,,,,,,
7,7,,,0.7669281959533691,0.9014039039611816,1.00785493850708,1.1819933652877808,1.156825304031372
7,7,0.6502556204795837,,,,,,
8,8,,,0.7751190066337585,0.9199216961860657,1.0796571969985962,1.254242181777954,1.156825304031372
8,8,0.7495391368865967,,,,,,
9,9,,,0.7756348252296448,0.9139352440834045,1.124314546585083,1.2792201042175293,1.156825304031372
9,9,0.8461823463439941,,,,,,
10,10,,,0.7641721367835999,0.8951906561851501,1.1293591260910034,1.2516824007034302,1.156825304031372
10,10,0.8164912462234497,,,,,,
11,11,,,0.7534970641136169,0.8822684288024902,1.1055212020874023,1.211174488067627,1.156825304031372
11,11,0.707688570022583,,,,,,
12,12,,,0.7497427463531494,0.8768060803413391,1.0698319673538208,1.1783792972564697,1.156825304031372
12,12,0.6238071918487549,,,,,,
13,13,,,0.750490128993988,0.8742057085037231,1.0380948781967163,1.15675950050354,1.15675950050354
13,13,0.5814065337181091,,,,,,
14,14,,,0.7509433627128601,0.8748764395713806,1.0203901529312134,1.1468539237976074,1.1468539237976074
14,14,0.5628255605697632,,,,,,
15,15,,,0.7495861649513245,0.8837429285049438,1.0179001092910767,1.151440978050232,1.1468539237976074
15,15,0.5560101866722107,,,,,,
16,16,,,0.7495043277740479,0.904918372631073,1.023606300354004,1.1737008094787598,1.1468539237976074
16,16,0.5535358190536499,,,,,,
17,17,,,0.7543420791625977,0.9367196559906006,1.0280169248580933,1.2113786935806274,1.1468539237976074
17,17,0.5483179688453674,,,,,,
18,18,,,0.7636851668357849,0.9699426889419556,1.0266811847686768,1.2533879280090332,1.1468539237976074
18,18,0.5360940098762512,,,,,,
19,19,,,0.7731637358665466,0.99177086353302,1.024226427078247,1.284806489944458,1.1468539237976074
