epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.7600466012954712,1.2431230545043945,1.1035398244857788,1.599103569984436,1.599103569984436
0,0,157.92007446289062,,,,,,
1,1,,,1.1854861974716187,1.0329036712646484,2.4533138275146484,3.4767398834228516,1.599103569984436
1,1,1.2581599950790405,,,,,,
2,2,,,1.261595606803894,0.8862118721008301,2.5772805213928223,3.674548864364624,1.599103569984436
2,2,10.136066436767578,,,,,,
3,3,,,1.0040655136108398,0.8527424335479736,1.9885807037353516,2.3651421070098877,1.599103569984436
3,3,13.332326889038086,,,,,,
4,4,,,0.8178474307060242,0.8607660531997681,1.4141181707382202,1.508819341659546,1.508819341659546
4,4,4.196436882019043,,,,,,
5,5,,,0.7635665535926819,0.8750895261764526,1.0758368968963623,1.1975189447402954,1.1975189447402954
5,5,1.2829681634902954,,,,,,
6,6,,,0.7582682371139526,0.8899303078651428,0.9629017114639282,1.1343889236450195,1.1343889236450195
6,6,0.6194105744361877,,,,,,
7,7,,,0.7580404877662659,0.9035149812698364,0.986930251121521,1.160409688949585,1.1343889236450195
7,7,0.43511247634887695,,,,,,
8,8,,,0.7585228085517883,0.9142539501190186,1.0626983642578125,1.2177144289016724,1.1343889236450195
8,8,0.3978990316390991,,,,,,
9,9,,,0.7608065605163574,0.9206672310829163,1.1437795162200928,1.280501365661621,1.1343889236450195
9,9,0.4211582839488983,,,,,,
10,10,,,0.7635268568992615,0.9217151403427124,1.210702896118164,1.3324803113937378,1.1343889236450195
10,10,0.46700266003608704,,,,,,
11,11,,,0.7647755146026611,0.917206346988678,1.25650155544281,1.3640921115875244,1.1343889236450195
11,11,0.5113502740859985,,,,,,
12,12,,,0.7637858390808105,0.9080244898796082,1.2800426483154297,1.3726266622543335,1.1343889236450195
12,12,0.5384121537208557,,,,,,
13,13,,,0.7612615823745728,0.8959658145904541,1.2833173274993896,1.3612728118896484,1.1343889236450195
13,13,0.5423014163970947,,,,,,
14,14,,,0.7588504552841187,0.8832242488861084,1.2700426578521729,1.336808443069458,1.1343889236450195
14,14,0.5267699360847473,,,,,,
15,15,,,0.7583069205284119,0.8717730045318604,1.244693636894226,1.3068585395812988,1.1343889236450195
15,15,0.5008138418197632,,,,,,
16,16,,,0.7607631683349609,0.8629019856452942,1.2117854356765747,1.2777196168899536,1.1343889236450195
16,16,0.4732540249824524,,,,,,
17,17,,,0.7663447260856628,0.8570424318313599,1.175382137298584,1.2532193660736084,1.1343889236450195
17,17,0.449649453163147,,,,,,
18,18,,,0.7741920948028564,0.8538752198219299,1.138801097869873,1.234567403793335,1.1343889236450195
18,18,0.43203204870224,,,,,,
19,19,,,0.782799482345581,0.8526281118392944,1.1044702529907227,1.2209148406982422,1.1343889236450195
19,19,0.4200768768787384,,,,,,
20,20,,,0.7905020713806152,0.8524242043495178,1.0739262104034424,1.2102926969528198,1.1343889236450195
20,20,0.4123947322368622,,,,,,
21,21,,,0.7959309220314026,0.8525528311729431,1.0479254722595215,1.2005894184112549,1.1343889236450195
21,21,0.4074045419692993,,,,,,
22,22,,,0.7983177304267883,0.8526087999343872,1.0266242027282715,1.1903026103973389,1.1343889236450195
22,22,0.4037697911262512,,,,,,
23,23,,,0.7975866198539734,0.8525148630142212,1.0097650289535522,1.1788960695266724,1.1343889236450195
23,23,0.4005531072616577,,,,,,
24,24,,,0.7942363023757935,0.8524680733680725,0.9968439340591431,1.166741132736206,1.1343889236450195
24,24,0.3972379267215729,,,,,,
25,25,,,0.78909832239151,0.8528406620025635,0.9872424602508545,1.1547822952270508,1.1343889236450195
25,25,0.39368972182273865,,,,,,
26,26,,,0.7830914258956909,0.8540537357330322,0.9803240299224854,1.1441364288330078,1.1343889236450195
26,26,0.39008498191833496,,,,,,
27,27,,,0.7770446538925171,0.8564419150352478,0.9755005240440369,1.1357649564743042,1.1343889236450195
27,27,0.38681358098983765,,,,,,
28,28,,,0.7715941667556763,0.860132098197937,0.9722703695297241,1.1302577257156372,1.1302577257156372
28,28,0.38435274362564087,,,,,,
29,29,,,0.7671365141868591,0.8649637699127197,0.9702374935150146,1.127719521522522,1.127719521522522
29,29,0.38311755657196045,,,,,,
30,30,,,0.7638227939605713,0.8704811930656433,0.9691104888916016,1.127760410308838,1.127719521522522
30,30,0.38330551981925964,,,,,,
31,31,,,0.7615939974784851,0.8760094046592712,0.9686927795410156,1.12959623336792,1.127719521522522
31,31,0.38477399945259094,,,,,,
32,32,,,0.7602542042732239,0.8807975649833679,0.9688628315925598,1.1322472095489502,1.127719521522522
32,32,0.38701021671295166,,,,,,
33,33,,,0.7595637440681458,0.8841904401779175,0.9695536494255066,1.1347905397415161,1.127719521522522
33,33,0.38923749327659607,,,,,,
34,34,,,0.7593262791633606,0.8857727646827698,0.9707324504852295,1.1365869045257568,1.127719521522522
34,34,0.3906487226486206,,,,,,
35,35,,,0.7594401240348816,0.8854477405548096,0.9723819494247437,1.1374092102050781,1.127719521522522
35,35,0.3906807005405426,,,,,,
