epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,2.80840802192688,3.7910709381103516,1.4286924600601196,14.072826385498047,14.072826385498047
0,0,0.8506123423576355,,,,,,
1,1,,,0.8483554124832153,1.1327333450317383,0.984868049621582,1.5072952508926392,1.5072952508926392
1,1,742.4326171875,,,,,,
2,2,,,0.8290648460388184,1.5592420101165771,1.353577971458435,2.3132832050323486,1.5072952508926392
2,2,1.0514600276947021,,,,,,
3,3,,,1.5223137140274048,2.788179397583008,1.69949471950531,6.593307971954346,1.5072952508926392
3,3,2.6874430179595947,,,,,,
4,4,,,1.9131073951721191,3.441622495651245,1.5845059156417847,9.576898574829102,1.5072952508926392
4,4,37.83598709106445,,,,,,
5,5,,,1.761581540107727,3.387094736099243,1.1527554988861084,8.588582992553711,1.5072952508926392
5,5,112.06745147705078,,,,,,
6,6,,,1.3603706359863281,2.9063539505004883,0.9638217687606812,5.961301803588867,1.5072952508926392
6,6,74.89675903320312,,,,,,
7,7,,,0.9827206134796143,2.282662868499756,1.1617029905319214,3.7717206478118896,1.5072952508926392
7,7,22.638410568237305,,,,,,
8,8,,,0.7946465611457825,1.6718628406524658,1.4719583988189697,2.5507631301879883,1.5072952508926392
8,8,6.149288177490234,,,,,,
9,9,,,0.7693692445755005,1.1631710529327393,1.762049913406372,2.0861244201660156,1.5072952508926392
9,9,2.776024580001831,,,,,,
10,10,,,0.8139008283615112,0.8743247985839844,1.9968959093093872,2.117161989212036,1.5072952508926392
10,10,1.808030366897583,,,,,,
11,11,,,0.9524450898170471,0.9200605750083923,2.157750368118286,2.556037425994873,1.5072952508926392
11,11,1.7072772979736328,,,,,,
12,12,,,1.1310724020004272,1.1814188957214355,2.2065670490264893,3.1913247108459473,1.5072952508926392
12,12,3.2015910148620605,,,,,,
13,13,,,1.264623999595642,1.4654037952423096,2.088434934616089,3.66737699508667,1.5072952508926392
13,13,7.56949520111084,,,,,,
14,14,,,1.30795419216156,1.6630256175994873,1.7984908819198608,3.7227511405944824,1.5072952508926392
14,14,13.375934600830078,,,,,,
15,15,,,1.270156979560852,1.7317023277282715,1.42758309841156,3.3984696865081787,1.5072952508926392
15,15,15.86957836151123,,,,,,
16,16,,,1.1854772567749023,1.6789816617965698,1.1167482137680054,2.9033052921295166,1.5072952508926392
16,16,13.644674301147461,,,,,,
17,17,,,1.083810806274414,1.5405755043029785,0.9705443382263184,2.404815673828125,1.5072952508926392
17,17,9.552633285522461,,,,,,
18,18,,,0.9845696687698364,1.3594136238098145,0.9796244502067566,1.9847683906555176,1.5072952508926392
18,18,5.9879326820373535,,,,,,
19,19,,,0.8997613191604614,1.1738094091415405,1.0569937229156494,1.6708693504333496,1.5072952508926392
19,19,3.6310970783233643,,,,,,
20,20,,,0.8357032537460327,1.0145105123519897,1.1387712955474854,1.462982177734375,1.462982177734375
20,20,2.3105199337005615,,,,,,
21,21,,,0.7933843731880188,0.9046323895454407,1.2008861303329468,1.3469865322113037,1.3469865322113037
21,21,1.669879674911499,,,,,,
22,22,,,0.7694438099861145,0.8566731214523315,1.238700270652771,1.3029866218566895,1.3029866218566895
22,22,1.418810486793518,,,,,,
23,23,,,0.7582794427871704,0.8677429556846619,1.2543011903762817,1.3106082677841187,1.3029866218566895
