epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.9129021763801575,0.9831877946853638,1.4916942119598389,1.820899248123169,1.820899248123169
0,0,0.450645387172699,,,,,,
1,1,,,0.7396120429039001,0.8448344469070435,1.0547724962234497,1.1292563676834106,1.1292563676834106
1,1,1.7433834075927734,,,,,,
2,2,,,0.788621187210083,0.8553240299224854,1.1082218885421753,1.2330353260040283,1.1292563676834106
2,2,0.5813387632369995,,,,,,
3,3,,,0.7701884508132935,0.8597434759140015,1.3825234174728394,1.420653223991394,1.1292563676834106
3,3,0.7907952070236206,,,,,,
4,4,,,0.762638509273529,0.8674771785736084,1.4619196653366089,1.4864063262939453,1.1292563676834106
4,4,1.0975341796875,,,,,,
5,5,,,0.7720969915390015,0.8864414095878601,1.3651877641677856,1.4317662715911865,1.1292563676834106
5,5,1.1524819135665894,,,,,,
6,6,,,0.8050286769866943,0.8972797989845276,1.2166887521743774,1.3668537139892578,1.1292563676834106
6,6,0.9687182307243347,,,,,,
7,7,,,0.828380286693573,0.880027174949646,1.087323546409607,1.2918864488601685,1.1292563676834106
7,7,0.7893438935279846,,,,,,
8,8,,,0.7939233779907227,0.8525977730751038,1.0032933950424194,1.170358657836914,1.1292563676834106
8,8,0.6618664264678955,,,,,,
9,9,,,0.7454921007156372,0.8611927032470703,0.9648646116256714,1.0951459407806396,1.0951459407806396
9,9,0.5841104388237,,,,,,
10,10,,,0.7382080554962158,0.9137020111083984,0.9588561654090881,1.1293392181396484,1.0951459407806396
10,10,0.5820904970169067,,,,,,
11,11,,,0.7407737970352173,0.9206913709640503,0.96589595079422,1.1428513526916504,1.0951459407806396
11,11,0.6954002380371094,,,,,,
12,12,,,0.7344229817390442,0.8763295412063599,0.9683051705360413,1.0971320867538452,1.0951459407806396
12,12,0.7455313801765442,,,,,,
13,13,,,0.7414307594299316,0.8462412357330322,0.9615559577941895,1.075693130493164,1.075693130493164
13,13,0.6739603877067566,,,,,,
14,14,,,0.756098747253418,0.8389750123023987,0.9583081007003784,1.085288166999817,1.075693130493164
14,14,0.6260592341423035,,,,,,
15,15,,,0.7592894434928894,0.8383875489234924,0.9759774208068848,1.099012851715088,1.075693130493164
15,15,0.5943881869316101,,,,,,
16,16,,,0.7457133531570435,0.8431293368339539,1.0206090211868286,1.113610029220581,1.075693130493164
16,16,0.5562739372253418,,,,,,
17,17,,,0.7308390140533447,0.8597993850708008,1.080228328704834,1.148073434829712,1.075693130493164
17,17,0.5260055661201477,,,,,,
18,18,,,0.7267086505889893,0.8823177814483643,1.127729892730713,1.1945136785507202,1.075693130493164
18,18,0.5271525382995605,,,,,,
19,19,,,0.7266201972961426,0.8898470401763916,1.136427640914917,1.207006812095642,1.075693130493164
19,19,0.5557191967964172,,,,,,
20,20,,,0.725708544254303,0.8774167895317078,1.1059621572494507,1.1743440628051758,1.075693130493164
20,20,0.5627976655960083,,,,,,
21,21,,,0.7282395362854004,0.8608027100563049,1.0588568449020386,1.132058024406433,1.075693130493164
21,21,0.5351744890213013,,,,,,
22,22,,,0.7317731380462646,0.8514645099639893,1.0168191194534302,1.101819396018982,1.075693130493164
22,22,0.5116503238677979,,,,,,
23,23,,,0.7301880717277527,0.8514024019241333,0.9898256659507751,1.0835150480270386,1.075693130493164
23,23,0.501663088798523,,,,,,
24,24,,,0.7247989177703857,0.8621203899383545,0.9780591726303101,1.0793639421463013,1.075693130493164
24,24,0.49021658301353455,,,,,,
25,25,,,0.7233408689498901,0.8864374756813049,0.9775766134262085,1.0985298156738281,1.075693130493164
25,25,0.4712067246437073,,,,,,
26,26,,,0.7300869822502136,0.9187778234481812,0.9841679334640503,1.1393142938613892,1.075693130493164
26,26,0.45689547061920166,,,,,,
27,27,,,0.7374622821807861,0.9374988079071045,0.9943292140960693,1.1713366508483887,1.075693130493164
27,27,0.46402350068092346,,,,,,
28,28,,,0.7356814742088318,0.9262988567352295,1.004547357559204,1.1650428771972656,1.075693130493164
28,28,0.4792076349258423,,,,,,
29,29,,,0.7287401556968689,0.8994466066360474,1.0115422010421753,1.1368058919906616,1.075693130493164
29,29,0.47178637981414795,,,,,,
30,30,,,0.7238759398460388,0.8786448240280151,1.0139650106430054,1.1142494678497314,1.075693130493164
30,30,0.457152783870697,,,,,,
31,31,,,0.7217380404472351,0.8714882731437683,1.0129318237304688,1.1049160957336426,1.075693130493164
31,31,0.4525483548641205,,,,,,
32,32,,,0.7209373712539673,0.8773710131645203,1.0108428001403809,1.1078271865844727,1.075693130493164
32,32,0.450528085231781,,,,,,
33,33,,,0.7220873236656189,0.8947403430938721,1.0098023414611816,1.1238219738006592,1.075693130493164
33,33,0.44515758752822876,,,,,,
34,34,,,0.72613525390625,0.9183992743492126,1.010659098625183,1.1503634452819824,1.075693130493164
34,34,0.44068560004234314,,,,,,
35,35,,,0.7304327487945557,0.935558021068573,1.0132365226745605,1.1727662086486816,1.075693130493164
35,35,0.44376373291015625,,,,,,
36,36,,,0.7306075692176819,0.9344028234481812,1.0177903175354004,1.1746965646743774,1.075693130493164
36,36,0.44997334480285645,,,,,,
37,37,,,0.7273638248443604,0.9183448553085327,1.0256136655807495,1.1609609127044678,1.075693130493164
37,37,0.44675877690315247,,,,,,
38,38,,,0.7247150540351868,0.9008381366729736,1.037075161933899,1.1492067575454712,1.075693130493164
38,38,0.4376772344112396,,,,,,
39,39,,,0.7245424389839172,0.8913562297821045,1.0500108003616333,1.148730993270874,1.075693130493164
39,39,0.43380919098854065,,,,,,
40,40,,,0.7267098426818848,0.8924991488456726,1.0605778694152832,1.1590125560760498,1.075693130493164
40,40,0.4351675510406494,,,,,,
41,41,,,0.7303171753883362,0.9024327993392944,1.065287709236145,1.1751130819320679,1.075693130493164
41,41,0.4371906518936157,,,,,,
