epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.8466413617134094,1.4137996435165405,1.2869588136672974,2.0686004161834717,2.0686004161834717
0,0,1761454.375,,,,,,
1,1,,,0.8448638319969177,1.3986812829971313,1.2829322814941406,2.041922092437744,2.041922092437744
1,1,1652047.125,,,,,,
2,2,,,0.8398385047912598,1.4037013053894043,1.265831708908081,2.028949022293091,2.028949022293091
2,2,1499205.875,,,,,,
3,3,,,0.8244810104370117,1.3976510763168335,1.2408921718597412,1.9811503887176514,1.9811503887176514
3,3,1296691.5,,,,,,
4,4,,,0.8249468207359314,1.3965789079666138,1.2429373264312744,1.9818134307861328,1.9811503887176514
4,4,1194732.0,,,,,,
5,5,,,0.834467887878418,1.3895996809005737,1.2264139652252197,1.9724314212799072,1.9724314212799072
5,5,1096369.625,,,,,,
6,6,,,0.8373185396194458,1.3832168579101562,1.2175825834274292,1.9609097242355347,1.9609097242355347
6,6,979736.25,,,,,,
7,7,,,0.8349061012268066,1.3703148365020752,1.2031980752944946,1.9294779300689697,1.9294779300689697
7,7,880791.0625,,,,,,
8,8,,,0.8232191801071167,1.3767788410186768,1.190773844718933,1.9138009548187256,1.9138009548187256
8,8,803943.1875,,,,,,
9,9,,,0.8244139552116394,1.3696138858795166,1.177642583847046,1.896176815032959,1.896176815032959
9,9,764673.0,,,,,,
10,10,,,0.8247073292732239,1.3530793190002441,1.1744199991226196,1.8718864917755127,1.8718864917755127
10,10,673049.0625,,,,,,
11,11,,,0.8183543086051941,1.3505022525787354,1.1931627988815308,1.8735063076019287,1.8718864917755127
11,11,643958.9375,,,,,,
12,12,,,0.8161751627922058,1.3450177907943726,1.20246422290802,1.870052695274353,1.870052695274353
12,12,592105.6875,,,,,,
13,13,,,0.8167862892150879,1.3471254110336304,1.2036583423614502,1.8745417594909668,1.870052695274353
13,13,552855.125,,,,,,
14,14,,,0.8128881454467773,1.3402669429779053,1.1950623989105225,1.8540539741516113,1.8540539741516113
14,14,523783.90625,,,,,,
15,15,,,0.8109993934631348,1.331761121749878,1.180679440498352,1.8299556970596313,1.8299556970596313
15,15,473114.25,,,,,,
16,16,,,0.803847074508667,1.315475344657898,1.1677898168563843,1.7901175022125244,1.7901175022125244
16,16,438274.1875,,,,,,
17,17,,,0.8003573417663574,1.3057944774627686,1.1528578996658325,1.7625322341918945,1.7625322341918945
17,17,418738.59375,,,,,,
18,18,,,0.8037400245666504,1.2897049188613892,1.1444768905639648,1.740281105041504,1.740281105041504
18,18,380305.875,,,,,,
19,19,,,0.8016629219055176,1.2763986587524414,1.1421117782592773,1.7189996242523193,1.7189996242523193
19,19,359286.375,,,,,,
20,20,,,0.8044677376747131,1.2644104957580566,1.1360061168670654,1.703248143196106,1.703248143196106
20,20,352197.5625,,,,,,
21,21,,,0.8091272711753845,1.258880853652954,1.126376986503601,1.6957299709320068,1.6957299709320068
21,21,326743.34375,,,,,,
22,22,,,0.8107824921607971,1.2417027950286865,1.1260645389556885,1.6763049364089966,1.6763049364089966
22,22,303260.96875,,,,,,
23,23,,,0.810321033000946,1.2377794981002808,1.124261736869812,1.6696418523788452,1.6696418523788452
23,23,287832.25,,,,,,
24,24,,,0.8134996891021729,1.2353326082229614,1.1230628490447998,1.669946312904358,1.6696418523788452
24,24,273270.0625,,,,,,
25,25,,,0.8141451478004456,1.2278592586517334,1.1181082725524902,1.6582727432250977,1.6582727432250977
25,25,262919.25,,,,,,
26,26,,,0.8172825574874878,1.223617672920227,1.1087703704833984,1.6509020328521729,1.6509020328521729
26,26,241714.125,,,,,,
