epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.8567320704460144,0.9168593287467957,1.0329973697662354,1.3281373977661133,1.3281373977661133
0,0,0.4694475531578064,,,,,,
1,1,,,0.7548667192459106,0.8913405537605286,1.0006330013275146,1.153949499130249,1.153949499130249
1,1,0.9589789509773254,,,,,,
2,2,,,0.881571352481842,1.184050440788269,1.008481502532959,1.6266212463378906,1.153949499130249
2,2,0.5101959705352783,,,,,,
3,3,,,0.7652994990348816,0.9502493143081665,0.985589325428009,1.2115284204483032,1.153949499130249
3,3,1.2247956991195679,,,,,,
4,4,,,0.7755537629127502,0.8590922951698303,0.9886267185211182,1.1439790725708008,1.1439790725708008
4,4,0.5110381245613098,,,,,,
5,5,,,0.8421220779418945,0.8866379261016846,1.0044902563095093,1.2636003494262695,1.1439790725708008
5,5,0.5815950632095337,,,,,,
6,6,,,0.8900609016418457,0.9327725172042847,1.0199697017669678,1.3812453746795654,1.1439790725708008
6,6,0.7390927672386169,,,,,,
7,7,,,0.9051002264022827,0.9517455101013184,1.025532841682434,1.424064040184021,1.1439790725708008
7,7,0.8348997235298157,,,,,,
8,8,,,0.898363471031189,0.9385454654693604,1.019326090812683,1.398097038269043,1.1439790725708008
8,8,0.8469803929328918,,,,,,
9,9,,,0.8717476725578308,0.9067270755767822,1.005814552307129,1.322934627532959,1.1439790725708008
9,9,0.7915984988212585,,,,,,
10,10,,,0.8292958736419678,0.8772203922271729,0.9909397959709167,1.2300069332122803,1.1439790725708008
10,10,0.7034121155738831,,,,,,
11,11,,,0.7884727120399475,0.8707320690155029,0.9784016609191895,1.1640639305114746,1.1439790725708008
11,11,0.6172823905944824,,,,,,
12,12,,,0.7662805318832397,0.8964259028434753,0.9690968990325928,1.1535528898239136,1.1439790725708008
12,12,0.5622897744178772,,,,,,
13,13,,,0.7650513648986816,0.938722550868988,0.9630391597747803,1.1870962381362915,1.1439790725708008
13,13,0.5627518892288208,,,,,,
14,14,,,0.769464910030365,0.9631238579750061,0.9612552523612976,1.2145479917526245,1.1439790725708008
14,14,0.6148208379745483,,,,,,
15,15,,,0.766288161277771,0.9537023901939392,0.9632543921470642,1.2028311491012573,1.1439790725708008
15,15,0.6466787457466125,,,,,,
16,16,,,0.7586869597434998,0.9252262115478516,0.9664829969406128,1.1688427925109863,1.1439790725708008
16,16,0.6027926802635193,,,,,,
17,17,,,0.7543244361877441,0.8976657390594482,0.9715562462806702,1.1415605545043945,1.1415605545043945
17,17,0.5317485928535461,,,,,,
18,18,,,0.7545300126075745,0.8797556757926941,0.981099009513855,1.131622314453125,1.131622314453125
18,18,0.492495059967041,,,,,,
19,19,,,0.7556979060173035,0.8712527751922607,0.9936037063598633,1.1331062316894531,1.131622314453125
19,19,0.49394547939300537,,,,,,
20,20,,,0.7549427151679993,0.8699759840965271,1.002942442893982,1.136732816696167,1.131622314453125
20,20,0.5161799788475037,,,,,,
