epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,1.316651701927185,1.7320119142532349,2.1367099285125732,4.260388374328613,4.260388374328613
0,0,4.145399145976887e+20,,,,,,
1,1,,,1.3128023147583008,1.7258256673812866,2.1300089359283447,4.233000755310059,4.233000755310059
1,1,4.123391673079043e+20,,,,,,
2,2,,,1.3103381395339966,1.7235394716262817,2.1254231929779053,4.218001365661621,4.218001365661621
2,2,3.323477788389215e+20,,,,,,
3,3,,,1.3080625534057617,1.7214828729629517,2.121422052383423,4.204568386077881,4.204568386077881
3,3,2.5337652605428223e+20,,,,,,
4,4,,,1.3063430786132812,1.719478726387024,2.118361711502075,4.193615913391113,4.193615913391113
4,4,1.973890773085795e+20,,,,,,
5,5,,,1.3051261901855469,1.717512607574463,2.1160337924957275,4.184729099273682,4.184729099273682
5,5,1.6281304301316342e+20,,,,,,
6,6,,,1.3041805028915405,1.715997338294983,2.1140079498291016,4.17757511138916,4.17757511138916
6,6,1.4126667890373008e+20,,,,,,
7,7,,,1.3032927513122559,1.7149983644485474,2.1119654178619385,4.17140531539917,4.17140531539917
7,7,1.2630550983537276e+20,,,,,,
8,8,,,1.3022078275680542,1.7142733335494995,2.1098482608795166,4.165202617645264,4.165202617645264
8,8,1.146266204704384e+20,,,,,,
9,9,,,1.30100417137146,1.7135982513427734,2.107840061187744,4.1589813232421875,4.1589813232421875
9,9,1.0478173409282045e+20,,,,,,
10,10,,,1.2997736930847168,1.7128275632858276,2.1061744689941406,4.152984142303467,4.152984142303467
10,10,9.60625804962777e+19,,,,,,
11,11,,,1.2985560894012451,1.711887240409851,2.104909896850586,4.147239685058594,4.147239685058594
11,11,8.815296652494085e+19,,,,,,
12,12,,,1.2974377870559692,1.7107841968536377,2.103912591934204,4.1417694091796875,4.1417694091796875
12,12,8.100050264876961e+19,,,,,,
13,13,,,1.296372413635254,1.709590196609497,2.1030027866363525,4.136369705200195,4.136369705200195
13,13,7.46456684878522e+19,,,,,,
14,14,,,1.2952357530593872,1.7083911895751953,2.1020514965057373,4.130764484405518,4.130764484405518
14,14,6.905553146991346e+19,,,,,,
15,15,,,1.2940373420715332,1.7072430849075317,2.1010117530822754,4.125010013580322,4.125010013580322
15,15,6.4063423224368595e+19,,,,,,
