epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.6502106189727783,1.0823779106140137,1.3185096979141235,1.4469654560089111,1.4469654560089111
0,0,0.04022830352187157,,,,,,
1,1,,,0.48626571893692017,0.9798997044563293,1.165961503982544,1.0781104564666748,1.0781104564666748
1,1,1.8046224117279053,,,,,,
2,2,,,0.38594692945480347,0.9841572642326355,1.3154997825622559,1.1246123313903809,1.0781104564666748
2,2,0.29930567741394043,,,,,,
3,3,,,0.4113870859146118,0.9855585694313049,1.3428452014923096,1.1642173528671265,1.0781104564666748
3,3,0.619116485118866,,,,,,
4,4,,,0.40564996004104614,0.9768902063369751,1.2302851676940918,1.0643280744552612,1.0643280744552612
4,4,0.9042890667915344,,,,,,
5,5,,,0.43402886390686035,0.9840951561927795,1.1606718301773071,1.040026307106018,1.040026307106018
5,5,0.3747507929801941,,,,,,
6,6,,,0.4541335105895996,1.008810043334961,1.156074047088623,1.0755741596221924,1.040026307106018
6,6,0.1298811435699463,,,,,,
7,7,,,0.45698466897010803,1.0281801223754883,1.1780298948287964,1.1127840280532837,1.040026307106018
7,7,0.2401755154132843,,,,,,
8,8,,,0.4425087571144104,1.0226789712905884,1.191465973854065,1.1063969135284424,1.040026307106018
8,8,0.4496544599533081,,,,,,
9,9,,,0.4098045527935028,0.9958468079566956,1.2009891271591187,1.0640684366226196,1.040026307106018
9,9,0.454446017742157,,,,,,
10,10,,,0.37723129987716675,0.9660840630531311,1.2205612659454346,1.0288771390914917,1.0288771390914917
10,10,0.2681145966053009,,,,,,
11,11,,,0.36360034346580505,0.9500574469566345,1.2457351684570312,1.0243266820907593,1.0243266820907593
11,11,0.09859824180603027,,,,,,
12,12,,,0.3730350434780121,0.9489173889160156,1.2577362060546875,1.037905216217041,1.0243266820907593
12,12,0.08792422711849213,,,,,,
13,13,,,0.38892799615859985,0.9491820931434631,1.248966097831726,1.0411866903305054,1.0243266820907593
13,13,0.19183754920959473,,,,,,
14,14,,,0.3963044285774231,0.940313458442688,1.22905433177948,1.0225508213043213,1.0225508213043213
14,14,0.2657339870929718,,,,,,
15,15,,,0.3950801193714142,0.9259502291679382,1.2102383375167847,0.9945534467697144,0.9945534467697144
15,15,0.23074379563331604,,,,,,
16,16,,,0.3926328122615814,0.917008101940155,1.2002495527267456,0.9775285124778748,0.9775285124778748
16,16,0.12993717193603516,,,,,,
17,17,,,0.39388057589530945,0.9192730188369751,1.200873613357544,0.9808348417282104,0.9775285124778748
17,17,0.06272710114717484,,,,,,
18,18,,,0.39751946926116943,0.9283992052078247,1.2072676420211792,0.9961838126182556,0.9775285124778748
18,18,0.08126750588417053,,,,,,
19,19,,,0.39882946014404297,0.9365981221199036,1.211773157119751,1.007920265197754,0.9775285124778748
19,19,0.1428634375333786,,,,,,
20,20,,,0.3960776925086975,0.9409201741218567,1.210994839668274,1.009634256362915,0.9775285124778748
20,20,0.16779321432113647,,,,,,
21,21,,,0.39217469096183777,0.9432933926582336,1.207914113998413,1.0071405172348022,0.9775285124778748
21,21,0.1316297948360443,,,,,,
22,22,,,0.38864028453826904,0.9462680816650391,1.2079548835754395,1.0077574253082275,0.9775285124778748
22,22,0.07513649761676788,,,,,,
23,23,,,0.3842998147010803,0.9500911831855774,1.2140529155731201,1.013149619102478,0.9775285124778748
23,23,0.04949270933866501,,,,,,
24,24,,,0.37967151403427124,0.952669084072113,1.2243285179138184,1.0203452110290527,0.9775285124778748
24,24,0.06844408065080643,,,,,,
25,25,,,0.3751227557659149,0.9519510865211487,1.2330304384231567,1.0233925580978394,0.9775285124778748
25,25,0.10234561562538147,,,,,,
26,26,,,0.37242671847343445,0.9481855034828186,1.234128713607788,1.0190430879592896,0.9775285124778748
26,26,0.11292022466659546,,,,,,
27,27,,,0.37466731667518616,0.9435791373252869,1.2263954877853394,1.010289192199707,0.9775285124778748
27,27,0.09012950956821442,,,,,,
28,28,,,0.38191360235214233,0.9401633739471436,1.2147479057312012,1.0028676986694336,0.9775285124778748
28,28,0.057228945195674896,,,,,,
29,29,,,0.390117347240448,0.9382076263427734,1.205248236656189,0.9991479516029358,0.9775285124778748
29,29,0.044754788279533386,,,,,,
30,30,,,0.39520666003227234,0.9365268349647522,1.2005544900894165,0.9973598122596741,0.9775285124778748
30,30,0.05844699963927269,,,,,,
31,31,,,0.3950574994087219,0.9341232776641846,1.2004435062408447,0.9949494004249573,0.9775285124778748
31,31,0.07735482603311539,,,,,,
32,32,,,0.3902013897895813,0.9313696622848511,1.204209566116333,0.9920867085456848,0.9775285124778748
32,32,0.07991546392440796,,,,,,
33,33,,,0.38329097628593445,0.9297042489051819,1.2110835313796997,0.991296112537384,0.9775285124778748
33,33,0.06495211273431778,,,,,,
34,34,,,0.3773040771484375,0.9303205609321594,1.218948245048523,0.994009256362915,0.9775285124778748
34,34,0.048931241035461426,,,,,,
35,35,,,0.3741769790649414,0.9331150054931641,1.2243319749832153,0.9987006783485413,0.9775285124778748
35,35,0.04645387455821037,,,,,,
36,36,,,0.37399494647979736,0.9368812441825867,1.224968671798706,1.0025653839111328,0.9775285124778748
36,36,0.05551096424460411,,,,,,
37,37,,,0.37546584010124207,0.9404733180999756,1.2219188213348389,1.004541039466858,0.9775285124778748
37,37,0.06285057216882706,,,,,,
38,38,,,0.37731534242630005,0.9436261653900146,1.2182966470718384,1.0059322118759155,0.9775285124778748
38,38,0.06009666249155998,,,,,,
39,39,,,0.3789603114128113,0.9466055631637573,1.216362476348877,1.008301854133606,0.9775285124778748
39,39,0.0506860688328743,,,,,,
40,40,,,0.3803573548793793,0.9491719603538513,1.2160680294036865,1.0113525390625,0.9775285124778748
40,40,0.044381871819496155,,,,,,
41,41,,,0.381644070148468,0.950282096862793,1.2158327102661133,1.013012170791626,0.9775285124778748
41,41,0.0465724803507328,,,,,,
42,42,,,0.38286489248275757,0.9491699934005737,1.2144696712493896,1.0117055177688599,0.9775285124778748
42,42,0.05252543464303017,,,,,,
43,43,,,0.3837766647338867,0.9464350938796997,1.2124080657958984,1.0081725120544434,0.9775285124778748
43,43,0.05388958752155304,,,,,,
44,44,,,0.38400813937187195,0.9436668753623962,1.2112066745758057,1.0048317909240723,0.9775285124778748
44,44,0.04905419424176216,,,,,,
45,45,,,0.3832590579986572,0.9420788288116455,1.2121583223342896,1.003581166267395,0.9775285124778748
45,45,0.04388641193509102,,,,,,
46,46,,,0.38136038184165955,0.9417519569396973,1.2152408361434937,1.0043789148330688,0.9775285124778748
46,46,0.04359427094459534,,,,,,
47,47,,,0.3787064552307129,0.9421684145927429,1.219015121459961,1.005936861038208,0.9775285124778748
47,47,0.04692814126610756,,,,,,
48,48,,,0.3764059841632843,0.9431002736091614,1.2215700149536133,1.0073084831237793,0.9775285124778748
48,48,0.048831429332494736,,,,,,
49,49,,0.046756211668252945,,,,,
49,49,,,0.37554052472114563,0.9447224140167236,1.2219687700271606,1.0086054801940918,0.9775285124778748
49,49,0.046756211668252945,,,,,,
50,50,,,0.3763044476509094,0.9470491409301758,1.2208614349365234,1.0104342699050903,0.9775285124778748
50,50,0.04309713467955589,,,,,,
51,51,,,0.3778177797794342,0.9495507478713989,1.2195950746536255,1.012770652770996,0.9775285124778748
51,51,0.041886087507009506,,,,,,
52,52,,,0.37878620624542236,0.95136958360672,1.2190366983413696,1.014663577079773,0.9775285124778748
52,52,0.04386858642101288,,,,,,
53,53,,,0.37847787141799927,0.9519234895706177,1.2193442583084106,1.015228033065796,0.9775285124778748
53,53,0.045835621654987335,,,,,,
54,54,,,0.37722259759902954,0.9513953924179077,1.2202523946762085,1.0146400928497314,0.9775285124778748
54,54,0.045019689947366714,,,,,,
55,55,,,0.37607160210609436,0.9506195187568665,1.2211745977401733,1.0138945579528809,0.9775285124778748
55,55,0.042525291442871094,,,,,,
56,56,,,0.3758998215198517,0.9504147171974182,1.221410870552063,1.0137723684310913,0.9775285124778748
56,56,0.04130919277667999,,,,,,
57,57,,,0.3767072260379791,0.9510162472724915,1.2207046747207642,1.0143048763275146,0.9775285124778748
57,57,0.04222226142883301,,,,,,
58,58,,,0.3777303993701935,0.9521493315696716,1.2195502519607544,1.0151417255401611,0.9775285124778748
58,58,0.043510593473911285,,,,,,
59,59,,,0.37817254662513733,0.9535332918167114,1.2188105583190918,1.01617431640625,0.9775285124778748
59,59,0.04335775598883629,,,,,,
60,60,,,0.3778214454650879,0.9551258087158203,1.219037652015686,1.0176408290863037,0.9775285124778748
60,60,0.04196515306830406,,,,,,
61,61,,,0.377047598361969,0.956874430179596,1.2200556993484497,1.0195876359939575,0.9775285124778748
61,61,0.04106550291180611,,,,,,
62,62,,,0.3763667643070221,0.9584589600563049,1.22112238407135,1.0214744806289673,0.9775285124778748
62,62,0.041514862328767776,,,,,,
63,63,,,0.37601861357688904,0.9594269394874573,1.2216286659240723,1.0225623846054077,0.9775285124778748
63,63,0.04226896911859512,,,,,,
64,64,,,0.37581562995910645,0.9595578908920288,1.2217049598693848,1.022621750831604,0.9775285124778748
64,64,0.042107515037059784,,,,,,
65,65,,,0.37539446353912354,0.9590526819229126,1.2220096588134766,1.0221121311187744,0.9775285124778748
65,65,0.041284091770648956,,,,,,
66,66,,,0.3746697008609772,0.9583708643913269,1.2229000329971313,1.021686315536499,0.9775285124778748
66,66,0.04086644947528839,,,,,,
67,67,,,0.37401482462882996,0.9579296112060547,1.2239129543304443,1.021623969078064,0.9775285124778748
67,67,0.04118003323674202,,,,,,
68,68,,,0.3739686906337738,0.9579554200172424,1.2241512537002563,1.02179753780365,0.9775285124778748
68,68,0.04156934469938278,,,,,,
69,69,,,0.37470492720603943,0.9585115313529968,1.223258137702942,1.022106647491455,0.9775285124778748
69,69,0.04139818996191025,,,,,,
70,70,,,0.37576672434806824,0.9595509171485901,1.2219018936157227,1.0227313041687012,0.9775285124778748
70,70,0.04087410122156143,,,,,,
71,71,,,0.3763919770717621,0.9609097242355347,1.2211588621139526,1.023855447769165,0.9775285124778748
71,71,0.04068973660469055,,,,,,
